user_id,product_id,product_category,product_name,description,price,review_score,Crawl Timestamp,Qty
3df3c33bd55ba194e12ea99df7a79538,B078YD1DZ8,Skin Care, NutriGlow Platinum With Oxy Bleach Cream 300g ,"Good Choice India provides you 100% genuine & brand new product… Description:- NutriGlow Platinum with Oxy Bleach Cream has a unique formulation that blends facial hairs, cleanser pores, removes impurities and fades blemishes from deep within. It provides extra active oxygen to penetrate into your skin. Key Ingredients:- Platinum Dust, Hydrogen Peroxide, Orange Oil, Vitamin E (Acetate) Liquid. How To Use:- Mix the cream and activator powder with the help of spatula in right proportion 5:1 on the enclosed mixing tray. Mix till powder is completely dissolved in the cream. Carefully and evenly apply the mixture over the face without rubbing but remember not to put any mixtures around eyes and lips area. Leave it for 15-20 minutes. Reapply on the area requiring further lightening. Wipe off with wet towel or cotton. wash off the application with plain water and see your skin come alive to a natural and healthy glow. Precaution:- Patch test is advisable on arms before use. Don't use soap at least for 6hours after the bleach.",229,5,2019-10-30 03:35:57 +0000,30
72323856f18bbcf032a2c2be743b2aa9,B06XSZCKGR,Bath & Shower," Woods of Windsor Lily of The Valley Fine English Soap for Women, 300 Gram ",Lily Of The Valley. for Women Fine English Soap 3 X 100g,5548,5,2019-10-31 17:40:18 +0000,60
21d8c8f4775a7bd5ff6673d7e0f11e62,B01G6OQVOW,Grocery & Gourmet Foods," Vathsalas Combo of Kothimera, Pudina and Karvepaku Powder - 300 grams ","The product in display is a combo of 1 kothimera, 1 pudina &1 karvepaku powder which weighs 300 grams. It is home made with no garlic, no preservatives and no artificial colors added. It has a shelf life of 1 year. It consists of pudina, thover dal, thill, miryalu, mirchi, salt, tamarind, toor dal, urad dal, karvepaku, jeera, kothimera, methi as ingredients. Store at room temperature, keep away from sunlight.",150,5,2019-10-28 18:39:22 +0000,3
4932c8a735c8c72673b69b10eb6394c7,B01MPZ01SG,Bath & Shower," Human Nature Body Scrub (6.7 oz., Coffee) ","Size:6.7 oz. | Color:Coffee Wash away the day's troubles and soak yourself in pure relaxation. - Scrubs with love. Effectively scrubs away dead skin cells (and the day's stresses!) revealing smooth, soft skin - Refreshes and moisturizes. Keeps skin soft and hydrated with aloe vera - Keeps baths stress-free. Has a calming vanilla scent to treat the senses. 3x the Charm: Remember to practice a healthy bath habit of exfoliating 2-3 times a week for smooth, soft skin. If you have sensitive skin, keep it to 1-2 times a week",5337,5,2019-10-28 22:56:18 +0000,4
039e5688795da63f45186aaec2bdc770,B06XT1YC61,Skin Care," IOPE UV Shield Sun Protector (spf 50, pa+++)_60ml ",Dermatologist approved V.D. Booster ingredents fastly absorb into women's skin without stickiness !!,6471,5,2019-10-28 20:15:18 +0000,5
5f30668c9d36047788ec7ba3c0962d69,B07Q7XP1MG,Fragrance, KamaSutra One XX (120ml) and One (150ml) Deodorant Body Spray (XX-Spark) (Pack of 2) ,"Bring In The Refreshing Enticing And Arousing Fragrance And Get Popular With The Ladies With Kamasutra XX Perfumed Deodorant Spray That Keeps You Feeling Fresh. Kamasutra Spark Deodorant Spray - For Men (150ml). Hot New Flame, Burning Passion, Sizzling Chemistry, Hearts On Fire, Pulses Set Alight & A Man Who Blazes A Trail Where Women Follow. Just Some Of The Benefits Of The Spicy And Sizzling Fragrance Of Spark!",333,5,2019-10-28 20:55:03 +0000,3
b4bf750d319c81f8cac0dd0389c43242,B06Y47JS5S,Skin Care," Paulas Choice RESIST Omega+ Complex with Flaxseed, Passion Fruit, and Olive Oil - 1 oz ","Paulas Choice RESIST Anti-Aging Omega+ Complex Serum with Chia, Flaxseed, Passion Fruit, and Olive Oil - 1 oz",5643,5,2019-10-31 15:45:49 +0000,3
417409081d820642f15f01a06671e028,B01MS0UCCI,Skin Care, DR BATRA COMBO OF ANTI ACNE CREAM (30g) AND ANTI ACNE FACEWASH (100ml) (ACNE TREATMENT) ,"Natural Anti-Acne Cream 30 g Fight acne and get healthy skin with this natural cream that's enriched with Berberis Aquifolium. Key Ingredient: Berberis Aquifolium Benefits: Berberis Aquifolium (Oregon grape root), with its proven efficacy, fights against acne and skin irritation. The soothing effects of Echinacea regenerates healthy skin and ward off infections. Olive leaf extracts prevents the skin from damage and ageing. Face Wash - Acne Clear 190 UNIT - 100ml Enriched with Neem and Tulsi extracts. Key ingredients: Neem and Tulsi extracts Benefits: Neem and Tulsi's antibacterial and antimicrobial activity help in purifying the skin, and prevent it from developing acne and blemishes. Tulsi's antiseptic properties helps to heal scars caused by pimples. Gives the skin a healthy and glowing look.",299,5,2019-10-30 11:36:20 +0000,3
cf9cff79fc4dd923c52a7c5f4844e283,B07NQ8Q8HR,Fragrance," Parag Fragrances 25ml Romantic Attar With Fancy Empty Bottle (Alcohol Free, Long Lasting, Natural Attar) Also Available in 50/100/200/500 pack ","This Product is Made By High Quality Essential Oil, Aroma Cristals, Natural Oils & Aroma Molicules. This is Specialy Made For Clothoes But Also Used For Religious Purpose. This Fragrance is 100% Undilued so Fragrance of this Perfume is Last Long ( upto 24 Hours ) on Clothes. This Product is Also Very Useful For Gifting Purpose Because its come with a very beautiful designer welwet box and very beautiful glass bottel. This Product is a Geniune Quality Contoled Protected and also Certified By ISO 9001:2015.",598,5,2019-10-29 00:34:08 +0000,5
1c45d50913c67d0b48ea7335a6138575,B00JZFZW2W,Skin Care, Mussvital Cereals(Grain) Shower Gel 750ml ,"Packed with essential nutrients, Mussvital’s shower gel with cereal extract helps skin recover its strength and elasticity. The Spanish product is enriched with Mussvitine, an exclusive revitalizing agent. It also strengthens damaged fibres and moisturizes the skin completely",766,5,2019-10-28 15:56:25 +0000,1
